ad_id,source_url,scraped_at,title,price_nok,tilstand,merke,kjonn,sykkeltype,brand,model,year,framesize,wheel_size,groupset,carbon_frame,carbon_wheels,electronic_shifting,description,location
"424699949","https://www.finn.no/recommerce/forsale/item/424699949","2026-03-02T15:35:32.786Z","Giant TCR Advanced 1 Disc 2021 – str. M/L","22000","Pent brukt - I god stand","Giant","Unisex","Landevei","Giant","TCR Advanced 1 Disc","2021","M/L","700c","Shimano Ultegra","true","false","false","Selger en pent brukt Giant TCR Advanced 1 Disc 2021-modell i størrelse M/L grunnet oppgradering til ny sykkel. Sykkelen har en lett og stiv karbonramme som egner seg godt både til lange turer og ritt. Den er godt vedlikeholdt og klar til bruk. Giants størrelsesguide anbefaler høyde mellom 177 – 187cm. Nypris: 31 999kr Tilstand: Pent brukt, aldri veltet Nylig byttet kjede Originalt hjulsett (PR-2) nesten ubrukt, da jeg har kjørt mest med et annet hjulsett Spesifikasjoner: Ramme: Advanced-Grade Composite, disc Gaffel: Advanced-Grade Composite, OverDrive steerer, disc Styre/stem: Giant Contact Setepinne: Giant Variant, composite Sete: Giant Approach Girgruppe: Shimano Ultegra (krank 36/52, 11-delt kassett 11-30, hydrauliske skivebremser) Kassett: Shimano 105 11x30 Hjulsett: Giant PR-2 Disc (12mm thru-axle), ca. 1500 km Dekk: Giant Gavia Course 1, tubeless, 700x25mm Vekt: ca. 8,2 kg (str. Medium, uten pedaler) Selges uten pedaler. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","0661 Oslo"
"428456294","https://www.finn.no/recommerce/forsale/item/428456294","2026-03-02T15:35:34.457Z","Specialized S-Works Landevei Herre","20000","Godt brukt - Synlig brukt","Specialized","Herre","Landevei","Specialized","S-Works","","","700c","","true","true","false","Jeg vurderer å selge min S-works da den ikke blir brukt. Det er en utrolig god sykkel og det er montert en wattmåler av merke Quarq DZero. Sykkelen har akkurat hatt service og der ble det montert en wattmåler med helt nytt lager og byttet alt av drivverk som bare er blitt brukt noen få kilometer. Jeg er selv 178cm og den passer meg utmerket. Styrer røret er kappet og man har en del drop. * Wattmåler Quarq DZero * Det er helt nytt drivverk, kjede, kasset, begge tannhjulene foran er også nye. Dette ble satt på i år og kun blitt brukt noen få kilometer. * Ganske nye og lite brukt bremseklosser av merket Switt stop - Flash pro * Karbon felger - Aerlite * Fremre gir er SRAM-Force * Bakre gir er Ultegra * Bremser er SRAM-Force Om jeg ikke husker helt feil så veier sykkelen slik som den står rett over 7kg. Jeg har to ruller en balanse og en fast rulle som kan følge med uten ekstra kostnader. NB: Dekkene på sykkelen bør byttes da disse er en del år gamle. De er begynt å morkne. Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","3772 Kragerø"
"448899485","https://www.finn.no/recommerce/forsale/item/448899485","2026-03-02T15:35:36.226Z","Trek Emonda ALR 5 slate","21000","Som ny - Ikke synlig brukt","Trek","Unisex","Landevei","Trek","Emonda ALR 5 Slate","","58cm","","Shimano 105","false","false","false","Selger min Trek Emonda ALR 5 Slate med tungt hjerte. Sykkelen har en lett aluminiumsramme med og nesten helt integrerte kabler, noe som gir den er veldig elegant utseende Kjøpte denne ny hos glade hjul i sommer og har kun blitt brukt i finvær! Sykkelen er så god som ny uten noen synlige bruksmerker. Service ble gjort på den i oktober før jeg ryddet den vekk for vinteren. Rammestørrelse: 58cm Vekt: 9,15kg Gir: Shimano 105 Selv er jeg 193 og denne sykkelen har vært utrolig behagelig! Send meg en melding dersom du har noen spørsmål! NB! Pedaler og flaskeholdere følger ikke med Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","0661 Oslo"
"448898159","https://www.finn.no/recommerce/forsale/item/448898159","2026-03-02T15:35:37.955Z","Landeveissykkel | str 54 | SRAM Force AXS 2X12 | Carbon hjul |165mm krankarmer!","54212165","Pent brukt - I god stand","","Unisex","Landevei","Velobuild","","","54","700c","SRAM Force AXS 2x12","false","true","true","Selger en meget pen og velholdt landeveissykkel. Meget god mekanisk stand og har svært få bruksmerker / riper. Rammestørrelse 54. Er på bildene satt opp til ei som er 170cm høy. Rammen er brukt i kun 1 sesong i bra vær. Utstyrt med SRAM Force AXS 2X12 girsystem. og 165mm krankarmer! (Rival krankarmer). Carbon hjulsett. Bakhjul fra Giant og fremhjul fra Hollowgram (Cannondale). Rammen er kjøpt fra: https://www.velobuild.com/ Ny styretape vil bli lagt før salg. Kan sendes, men vil prioritere de som kan hente. Ta kontakt dersom du lurer på noe ☺️","3160 Stokke"
"448897075","https://www.finn.no/recommerce/forsale/item/448897075","2026-03-02T15:35:39.649Z","Giant landevei/temposykkel str M","23000","Pent brukt - I god stand","Giant","Unisex","Landevei","Giant","","","M","","","false","false","false","Giant landevei sykkel med ramme størrelse M. Kjøpt brukt i oktober. Bare brukt noen få ganger på sykkelrulla. Må hentes i Oslo. Selges med «treningshjulsettet», ikke det som er på bildet","0254 Oslo"
"448891112","https://www.finn.no/recommerce/forsale/item/448891112","2026-03-02T15:35:41.747Z","Cube landevei sykkel 58 cm 28""/700c unisex","7000","Pent brukt - I god stand","Cube","Unisex","Landevei","Cube","","","58cm","700c","","false","false","false","Cube landevei sykkel med 58 cm ramme og 28""/700c hjulstørrelse. Sykkelen er designet for unisex bruk.","0664 Oslo"
"448870460","https://www.finn.no/recommerce/forsale/item/448870460","2026-03-02T15:35:43.430Z","Scott CR1 Carbon landeveissykkel – str. 56 (L)","10500","Pent brukt - I god stand","Scott","Unisex","Landevei","Scott","CR1 Carbon","","56","","Shimano Ultegra","true","false","false","Selger en velholdt Scott CR1 Carbon i størrelse 56 (L). Lett, komfortabel og rask landeveissykkel som passer perfekt både til utebruk og rulle. Brukt primært på innendørs på rulle i mitt eie, jeg har to turer ute. Spesifikasjoner: • Carbonramme • Shimano Ultegra gir (10-delt) • Shimano 105 bremser • Vekt: ca. 7,8 kg • Selges med aluminiumshjul+rullehjul Vedlikehold / tilstand: • Ny styretape • Ny kassett • Kjede som nytt (ca. 2000 km) • Nye kabler • Hjulsett brukt < 1000 km ✅ ROCKBROS rammeveske følger med i prisen. Kan kjøpes i tillegg: KASK Utopia landeveishjelm • Størrelse 52–58 cm (justerbar) • Ca. 260 g • Aldri vært i velt eller utsatt for slag • Komfortabel og godt ventilert premiumhjelm • Pris: 2500,- (nypris 3199,-) Shimano RC5 landeveissko (BOA) • Pent brukte, hvite/svarte • BOA-stramming + borrelås • Stive og komfortable, god kraftoverføring • Passer både landevei og rulle • Pris: 1100,- (nypris 1600,-) Selges samlet eller separat etter avtale. Ta kontakt ved spørsmål eller interesse 😄 Vis hele beskrivelsen NB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","4085 Hundvåg"
"419905405","https://www.finn.no/recommerce/forsale/item/419905405","2026-03-02T15:35:45.114Z","Head Cyclone landeveissyklel","7999","Pent brukt - I god stand","","Herre","Landevei","Head","Cyclone","","","","","false","false","false","Hei, Selger en ubetydelig brukt Head Cyclone landeveissykkel i god stand. Gator dekk sitter på sykkelen. Byttet slanger i starten av august. Brukt av herre på 186cm. Pris kan diskuteres ved rask avgjørelse 🙂","2656 Follebu"
"435201725","https://www.finn.no/recommerce/forsale/item/435201725","2026-03-02T15:35:46.747Z","landevei sykkel fra Rose Bikes","9500","Pent brukt - I god stand","","Unisex","Landevei","Rose","","","M","700c","Shimano Ultegra","false","false","false","Veldig lett sykkel fra Rose bikes Tyskland. Størrelse M (passer for de som er mellom 172-182cm). Gruppe: Shimano Ultegra (bremser, gir fremme, bak, cassette, hendel v/h) Ramme: Aluminium Hjul: Fullcrum Racing 3 type clincher Dekk: Continental GP5000 (som ny), 25mm Gaffel: Carbon Setepinne: Carbon Handlebar: Richey Pro WCS Godt vedlikeholdt sykkel","5235 Rådal"
"402837615","https://www.finn.no/recommerce/forsale/item/402837615","2026-03-02T15:35:48.353Z","Ønsker å kjøpe 2x landeveissykkel str 49-51 og 54-56.","40000","Pent brukt - I god stand","","Herre","Landevei","","","","","","","false","false","false","Ønsker å kjøpe 2x landeveissykkel/racer. Helst med elektroniske Di2 eller AXS gir. 10-40 000kr. Str 49-57. (Både S og L er interessant). Fara, Dare, Focus, Merida, Factor, Cannondale, Orbea, Specialized, Bianchi, Wilier, Van Rysel, Cube, Argon, Trek, Shimano, Sram Ta gjerne kontakt dersom du har en som skal selges.","4638 Kristiansand S"
